iter	Passed	Remaining
0	1	175
1	3	162
2	4	156
3	5	140
4	7	141
5	8	138
6	10	136
7	11	133
8	12	131
9	14	129
10	15	129
11	17	129
12	19	128
13	20	126
14	22	125
15	23	123
16	25	124
17	27	123
18	28	121
19	29	119
20	31	118
21	32	116
22	34	114
23	35	113
24	37	111
25	38	110
26	40	108
27	41	106
28	42	104
29	44	103
30	45	102
31	47	100
32	48	99
33	50	97
34	52	96
35	53	95
36	55	93
37	56	91
38	57	90
39	59	88
40	60	87
41	61	84
42	62	82
43	63	81
44	65	79
45	66	78
46	68	76
47	69	75
48	71	74
49	72	72
50	73	71
51	75	69
52	76	68
53	78	66
54	79	64
55	80	63
56	81	61
57	83	60
58	84	58
59	86	57
60	87	56
61	89	54
62	90	53
63	92	51
64	93	50
65	95	49
66	96	47
67	98	46
68	99	44
69	100	43
70	102	41
71	103	40
72	105	39
73	106	37
74	108	36
75	109	34
76	111	33
77	112	31
78	113	30
79	115	28
80	116	27
81	118	25
82	120	24
83	121	23
84	123	21
85	125	20
86	127	19
87	128	17
88	130	16
89	131	14
90	133	13
91	134	11
92	136	10
93	137	8
94	139	7
95	140	5
96	141	4
97	143	2
98	144	1
99	146	0
