iter	Passed	Remaining
0	2	2668
1	4	2452
2	7	2349
3	9	2287
4	12	2586
5	15	2584
6	18	2576
7	20	2506
8	22	2496
9	25	2486
10	27	2513
11	30	2527
12	33	2522
13	35	2518
14	37	2489
15	40	2470
16	44	2547
17	46	2540
18	48	2515
19	51	2509
20	53	2500
21	56	2495
22	59	2509
23	61	2492
24	63	2475
25	65	2463
26	67	2446
27	70	2434
28	72	2444
29	75	2454
30	78	2442
31	80	2430
32	82	2411
33	83	2358
34	85	2346
35	88	2356
36	90	2358
37	92	2350
38	95	2342
39	97	2329
40	99	2321
41	101	2325
42	105	2338
43	107	2335
44	109	2332
45	112	2324
46	114	2328
47	116	2320
48	120	2347
49	124	2358
50	126	2355
51	128	2347
52	130	2336
53	133	2331
54	135	2336
55	138	2339
56	141	2345
57	144	2348
58	147	2346
59	149	2347
60	153	2356
61	156	2363
62	158	2357
63	161	2354
64	163	2346
65	165	2343
66	168	2340
67	170	2336
68	173	2334
69	175	2327
70	177	2324
71	181	2334
72	185	2350
73	188	2353
74	190	2348
75	192	2343
76	195	2338
77	198	2341
78	200	2338
79	203	2335
80	205	2330
81	207	2322
82	209	2316
83	213	2323
84	215	2322
85	217	2316
86	219	2308
87	222	2302
88	224	2295
89	226	2293
90	229	2294
91	232	2291
92	234	2286
93	236	2279
94	238	2274
95	241	2269
96	244	2272
97	246	2269
98	248	2263
99	250	2258
100	253	2253
101	255	2248
102	257	2245
103	260	2243
104	262	2237
105	264	2231
106	266	2226
107	268	2221
108	271	2218
109	273	2215
110	276	2216
111	279	2212
112	281	2208
113	283	2205
114	286	2201
115	288	2197
116	291	2201
117	293	2197
118	296	2193
119	298	2188
120	300	2184
121	302	2178
122	305	2176
123	308	2176
124	310	2172
125	312	2169
126	315	2168
127	317	2165
128	320	2164
129	323	2167
130	326	2163
131	328	2160
132	330	2155
133	332	2151
134	335	2146
135	338	2148
136	340	2144
137	342	2139
138	344	2136
139	347	2131
140	349	2127
141	351	2123
142	354	2122
143	356	2118
144	358	2113
145	360	2109
146	362	2103
147	364	2099
148	367	2098
149	370	2100
150	372	2096
151	375	2092
152	377	2087
153	379	2083
154	381	2078
155	384	2079
156	386	2075
157	388	2072
158	391	2068
159	393	2064
160	395	2060
161	397	2056
162	400	2057
163	402	2053
164	405	2049
165	407	2046
166	409	2042
167	411	2039
168	414	2036
169	416	2035
170	419	2034
171	421	2030
172	423	2026
173	425	2022
174	428	2019
175	430	2017
176	432	2013
177	435	2009
178	437	2007
179	439	2003
180	441	1999
181	444	1997
182	446	1995
183	449	1993
184	451	1989
185	453	1985
186	455	1981
187	457	1977
188	460	1976
189	464	1978
190	466	1974
191	468	1971
192	470	1968
193	473	1965
194	475	1963
195	478	1963
196	481	1960
197	483	1957
198	485	1953
199	487	1950
200	489	1946
201	492	1943
202	494	1943
203	497	1939
204	499	1936
205	501	1933
206	503	1930
207	506	1928
208	509	1928
209	512	1926
210	514	1922
211	516	1919
212	518	1915
213	520	1911
214	523	1912
215	526	1910
216	528	1908
217	530	1904
218	533	1901
219	535	1898
220	538	1896
221	541	1896
222	543	1893
223	545	1890
224	548	1887
225	550	1883
226	552	1881
227	555	1881
228	557	1878
229	560	1875
230	562	1872
231	564	1868
232	566	1865
233	569	1863
234	571	1861
235	573	1858
236	576	1854
237	578	1851
238	580	1849
239	583	1846
240	586	1845
241	588	1842
242	590	1839
243	592	1836
244	594	1833
245	597	1830
246	599	1827
247	602	1826
248	604	1823
249	606	1820
250	608	1816
251	611	1814
252	613	1811
253	616	1812
254	619	1810
255	621	1807
256	624	1804
257	626	1800
258	628	1798
259	630	1795
260	633	1794
261	636	1791
262	637	1787
263	640	1785
264	642	1782
265	644	1779
266	647	1778
267	650	1776
268	652	1773
269	654	1770
270	656	1767
271	659	1763
272	661	1760
273	664	1759
274	666	1756
275	668	1754
276	670	1751
277	673	1748
278	675	1745
279	677	1742
280	680	1741
281	682	1738
282	685	1735
283	687	1732
284	689	1729
285	691	1725
286	693	1723
287	696	1721
288	698	1719
289	700	1715
290	703	1712
291	705	1709
292	707	1707
293	710	1707
294	713	1705
295	715	1702
296	718	1700
297	720	1697
298	722	1694
299	725	1691
300	727	1689
301	729	1686
302	731	1683
303	733	1680
304	736	1677
305	738	1674
306	741	1674
307	744	1671
308	746	1668
309	748	1665
310	750	1662
311	752	1659
312	755	1657
313	758	1656
314	760	1653
315	762	1651
316	765	1648
317	767	1646
318	769	1643
319	773	1643
320	775	1640
321	777	1637
322	780	1635
323	782	1632
324	784	1629
325	788	1630
326	791	1628
327	793	1625
328	795	1621
329	797	1618
330	799	1615
331	802	1613
332	804	1611
333	806	1609
334	809	1606
335	811	1603
336	813	1600
337	815	1597
338	818	1595
339	820	1592
340	822	1589
341	824	1586
342	826	1583
343	829	1581
344	831	1578
345	834	1576
346	836	1573
347	838	1571
348	841	1568
349	843	1565
350	845	1563
351	847	1560
352	850	1558
353	852	1556
354	855	1553
355	857	1550
356	859	1548
357	862	1546
358	864	1543
359	867	1541
360	869	1538
361	871	1535
362	873	1533
363	876	1531
364	878	1528
365	881	1527
366	883	1524
367	885	1521
368	887	1518
369	890	1515
370	892	1512
371	894	1509
372	897	1508
373	899	1505
374	901	1502
375	903	1500
376	906	1497
377	908	1494
378	910	1491
379	912	1489
380	915	1487
381	917	1484
382	919	1481
383	921	1478
384	924	1476
385	926	1473
386	928	1471
387	930	1468
388	933	1465
389	935	1462
390	937	1459
391	939	1456
392	941	1453
393	943	1451
394	945	1448
395	948	1445
396	950	1443
397	952	1440
398	954	1437
399	956	1434
400	958	1432
401	960	1429
402	963	1426
403	965	1423
404	967	1420
405	969	1417
406	971	1414
407	973	1412
408	976	1410
409	978	1407
410	980	1404
411	982	1402
412	984	1399
413	986	1396
414	988	1393
415	991	1391
416	993	1388
417	995	1385
418	997	1382
419	999	1380
420	1002	1378
421	1004	1375
422	1007	1373
423	1009	1371
424	1012	1370
425	1014	1367
426	1016	1364
427	1018	1361
428	1021	1359
429	1023	1356
430	1025	1354
431	1027	1351
432	1030	1348
433	1032	1345
434	1034	1343
435	1036	1340
436	1038	1338
437	1040	1335
438	1042	1332
439	1045	1330
440	1047	1327
441	1049	1324
442	1051	1322
443	1054	1320
444	1056	1318
445	1058	1315
446	1061	1313
447	1063	1310
448	1065	1307
449	1068	1305
450	1070	1303
451	1072	1300
452	1074	1297
453	1076	1294
454	1078	1291
455	1080	1289
456	1084	1288
457	1086	1286
458	1088	1283
459	1091	1281
460	1094	1279
461	1096	1276
462	1099	1275
463	1102	1273
464	1104	1270
465	1107	1268
466	1109	1265
467	1111	1263
468	1114	1261
469	1117	1260
470	1119	1257
471	1122	1255
472	1124	1253
473	1127	1250
474	1129	1248
475	1131	1245
476	1133	1243
477	1136	1240
478	1139	1239
479	1142	1237
480	1164	1256
481	1166	1253
482	1168	1250
483	1170	1248
484	1172	1245
485	1174	1242
486	1177	1240
487	1180	1238
488	1182	1235
489	1184	1232
490	1186	1229
491	1188	1226
492	1189	1223
493	1192	1221
494	1194	1218
495	1196	1215
496	1198	1213
497	1201	1210
498	1203	1208
499	1205	1205
500	1208	1203
501	1210	1200
502	1212	1197
503	1214	1194
504	1216	1192
505	1218	1189
506	1220	1187
507	1223	1184
508	1226	1183
509	1228	1180
510	1230	1177
511	1232	1174
512	1234	1171
513	1236	1168
514	1238	1166
515	1240	1163
516	1242	1160
517	1244	1157
518	1246	1155
519	1248	1152
520	1250	1150
521	1252	1147
522	1256	1145
523	1258	1143
524	1261	1141
525	1264	1139
526	1266	1136
527	1269	1134
528	1271	1132
529	1274	1129
530	1276	1127
531	1279	1125
532	1281	1122
533	1284	1120
534	1287	1119
535	1291	1117
536	1293	1115
537	1296	1112
538	1298	1110
539	1301	1108
540	1305	1107
541	1307	1105
542	1310	1102
543	1312	1099
544	1315	1098
545	1318	1096
546	1320	1093
547	1323	1091
548	1326	1089
549	1328	1086
550	1331	1085
551	1334	1082
552	1336	1080
553	1339	1078
554	1342	1076
555	1344	1073
556	1347	1071
557	1349	1069
558	1352	1066
559	1354	1064
560	1357	1062
561	1359	1059
562	1363	1058
563	1365	1055
564	1367	1052
565	1370	1050
566	1372	1048
567	1376	1046
568	1378	1044
569	1381	1041
570	1383	1039
571	1385	1037
572	1388	1034
573	1390	1032
574	1394	1030
575	1397	1028
576	1400	1026
577	1402	1024
578	1404	1021
579	1408	1020
580	1410	1017
581	1413	1014
582	1415	1012
583	1417	1010
584	1420	1007
585	1423	1005
586	1426	1003
587	1428	1000
588	1431	998
589	1433	996
590	1435	993
591	1439	991
592	1442	989
593	1444	987
594	1447	984
595	1449	982
596	1451	979
597	1454	977
598	1456	975
599	1458	972
600	1461	970
601	1464	968
602	1466	965
603	1470	963
604	1472	961
605	1474	958
606	1477	956
607	1480	954
608	1482	951
609	1485	949
610	1488	947
611	1490	944
612	1493	942
613	1495	940
614	1498	937
615	1501	936
616	1503	933
617	1506	930
618	1509	928
619	1511	926
620	1513	923
621	1516	921
622	1519	919
